Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M03;103.570
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M02;57.019
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M01;30.560
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M12;34.963
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M11;40.472
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M10;148.089
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M09;176.703
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M08;239.946
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M07;237.710
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M06;244.635
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M05;195.761
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M04;109.541
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M03;62.568
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M02;51.577
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2023M01;35.443
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2025M01;70.299
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M12;82.672
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M11;93.071
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M10;525.129
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M09;648.603
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M08;979.934
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M07;836.381
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M06;773.158
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M05;509.246
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M04;357.474
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M03;306.085
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M02;170.008
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M01;61.386
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M12;72.231
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M11;82.054
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M10;442.356
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M09;652.248
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M08;1.043.279
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M07;974.544
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M06;889.859
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M05;644.969
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M04;297.000
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M03;173.879
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M02;140.170
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M01;85.942
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2025M01;39.462
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M12;57.073
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M11;78.152
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M10;1.207.595
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M09;1.581.810
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M08;1.835.257
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M07;1.810.063
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M06;1.674.983
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M05;1.559.770
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M04;664.355
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M03;270.532
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M02;91.824
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M01;38.711
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M12;52.974
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M11;72.557
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M10;1.041.187
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M09;1.514.425
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M08;1.739.237
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M07;1.734.992
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M06;1.569.372
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M05;1.297.010
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M04;656.555
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M03;167.839
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M02;73.205
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M01;40.466
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;167.552
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;215.244
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;312.019
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;6.564.526
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;8.785.376
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;10.437.285
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;10.065.005
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;8.716.746
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;7.664.904
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;3.080.218
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;1.380.150
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;415.305
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;165.481
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;197.907
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;331.322
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;5.938.981
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;8.406.610
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;10.011.278
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;9.638.472
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;8.103.144
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;6.613.952
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;3.053.023
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;771.032
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;326.250
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;151.873
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2025M01;420.488
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M12;508.440
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M11;482.690
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M10;603.541
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M09;689.468
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M08;899.063
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M07;854.029
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M06;846.030
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M05;693.797
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M04;556.091
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M03;623.333
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M02;444.253
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2024M01;413.495
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2023M12;511.806
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2023M11;450.970
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2023M10;658.494
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2023M09;751.424
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2023M08;930.963
Encuesta de Ocupación Hotelera;Total Nacional;09 Cataluña;Total;Residentes en España;Viajero;2023M07;947.624
