Tipo de alojamiento;Viajeros y pernoctaciones;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M09;1.674.501
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M08;1.785.392
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M07;1.684.895
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M06;1.518.875
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M05;1.612.172
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M04;1.388.799
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M03;1.234.081
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M02;882.788
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M01;737.742
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M12;755.098
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M11;986.645
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M10;1.446.168
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M09;1.511.142
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M08;1.671.923
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M07;1.537.486
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M06;1.381.727
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M05;1.376.594
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M04;1.243.675
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M03;969.159
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M02;706.390
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M01;629.968
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M12;1.122.749
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M11;1.069.887
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M10;1.005.139
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M09;931.628
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M08;835.742
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M07;996.009
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M06;1.014.687
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M05;1.018.192
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M04;904.762
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M03;1.028.122
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M02;941.378
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2024M01;879.889
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M12;1.155.296
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M11;1.028.629
