Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M06;5,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M05;5,13
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M04;4,60
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M03;5,33
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M02;5,92
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M01;5,93
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M12;5,09
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M11;5,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M10;5,44
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M09;5,43
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M08;6,87
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M07;5,78
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M06;5,35
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M05;4,71
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M04;4,94
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M03;4,55
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M02;5,23
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2024M01;6,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M12;4,87
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M11;5,16
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M10;4,62
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M09;5,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M08;6,93
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M07;5,92
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M06;5,15
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M05;4,91
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M04;4,20
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M03;5,04
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M02;4,92
