RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Viajero,5447890,1999,10,Octubre
Total,,Viajero,6349504,1999,9,Septiembre
Total,,Viajero,6986211,1999,8,Agosto
Total,,Viajero,6415298,1999,7,Julio
Total,,Viajero,5834331,1999,6,Junio
Total,,Viajero,5724555,1999,5,Mayo
Total,,Viajero,4931385,1999,4,Abril
Total,,Viajero,4143343,1999,3,Marzo
Total,,Viajero,3205892,1999,2,Febrero
Total,,Viajero,2775738,1999,1,Enero
Total,,Pernoctaciones,29070077,2025,4,Abril
Total,,Pernoctaciones,22344694,2025,3,Marzo
Total,,Pernoctaciones,18412444,2025,2,Febrero
Total,,Pernoctaciones,16910798,2025,1,Enero
Total,,Pernoctaciones,18033188,2024,12,Diciembre
Total,,Pernoctaciones,20055197,2024,11,Noviembre
Total,,Pernoctaciones,33942709,2024,10,Octubre
Total,,Pernoctaciones,39040928,2024,9,Septiembre
Total,,Pernoctaciones,47895779,2024,8,Agosto
Total,,Pernoctaciones,44038012,2024,7,Julio
Total,,Pernoctaciones,38226012,2024,6,Junio
Total,,Pernoctaciones,35744250,2024,5,Mayo
Total,,Pernoctaciones,27099375,2024,4,Abril
Total,,Pernoctaciones,24520234,2024,3,Marzo
Total,,Pernoctaciones,18581766,2024,2,Febrero
Total,,Pernoctaciones,16491597,2024,1,Enero
Total,,Pernoctaciones,17913857,2023,12,Diciembre
Total,,Pernoctaciones,19023828,2023,11,Noviembre
Total,,Pernoctaciones,32415687,2023,10,Octubre
Total,,Pernoctaciones,37980229,2023,9,Septiembre
Total,,Pernoctaciones,46695607,2023,8,Agosto
Total,,Pernoctaciones,43109417,2023,7,Julio
Total,,Pernoctaciones,36255025,2023,6,Junio
Total,,Pernoctaciones,32187667,2023,5,Mayo
Total,,Pernoctaciones,28046754,2023,4,Abril
Total,,Pernoctaciones,20597741,2023,3,Marzo
Total,,Pernoctaciones,16816547,2023,2,Febrero
Total,,Pernoctaciones,15472477,2023,1,Enero
Total,,Pernoctaciones,16627833,2022,12,Diciembre
Total,,Pernoctaciones,17661676,2022,11,Noviembre
Total,,Pernoctaciones,29865924,2022,10,Octubre
Total,,Pernoctaciones,35999861,2022,9,Septiembre
Total,,Pernoctaciones,46140100,2022,8,Agosto
Total,,Pernoctaciones,42121775,2022,7,Julio
Total,,Pernoctaciones,35111326,2022,6,Junio
