Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M04;0,68
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M03;0,95
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M02;1,72
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M01;0,51
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M12;0,44
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M11;0,84
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M10;0,85
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M09;1,99
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M08;1,39
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M07;2,16
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M06;1,68
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M05;1,49
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M04;0,72
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M03;0,90
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M02;0,39
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2022M01;0,48
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M03;2,47
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M02;0,43
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M01;0,58
