Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M07;7.197.215
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M06;6.207.762
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M05;4.615.205
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M04;2.350.753
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M03;623.219
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M02;193.839
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M01;75.008
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M12;94.449
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M11;234.180
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M10;2.988.591
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M09;3.553.392
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M08;3.970.096
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M07;3.749.089
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M06;1.630.135
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M05;644.200
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M04;205.443
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M03;55.565
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M02;9.975
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2021M01;9.952
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M12;15.442
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M11;15.620
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M10;66.090
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M09;163.087
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M08;1.082.907
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M07;1.103.138
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M06;.
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M04;0
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M03;283.209
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M02;369.363
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2020M01;166.998
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2025M03;65.225
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2025M02;37.126
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2025M01;20.811
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M12;30.399
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M11;26.075
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M10;59.231
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M09;52.892
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M08;50.701
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M07;52.760
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M06;63.299
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M05;59.830
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M04;54.001
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M03;56.096
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M02;35.145
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2024M01;20.573
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M12;21.848
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M11;26.185
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M10;49.392
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M09;44.613
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M08;49.977
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M07;57.977
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M06;71.707
