Países	Viajeros y pernoctaciones	Periodo	Total
Residentes en España	Viajero	2017M03	3706176
Residentes en España	Viajero	2017M02	3157734
Residentes en España	Viajero	2017M01	2655015
Residentes en España	Viajero	2016M12	3231853
Residentes en España	Viajero	2016M11	3186298
Residentes en España	Viajero	2016M10	4358634
Residentes en España	Viajero	2016M09	4672782
Residentes en España	Viajero	2016M08	5993466
Residentes en España	Viajero	2016M07	5504356
Residentes en España	Viajero	2016M06	4723090
Residentes en España	Viajero	2016M05	4197064
Residentes en España	Viajero	2016M04	3755761
Residentes en España	Viajero	2016M03	4110169
Residentes en España	Viajero	2016M02	3191750
Residentes en España	Viajero	2016M01	2618022
Residentes en España	Viajero	2015M12	3220404
Residentes en España	Viajero	2015M11	3055877
Residentes en España	Viajero	2015M10	4137843
Residentes en España	Viajero	2015M09	4504038
Residentes en España	Viajero	2015M08	5945162
Residentes en España	Viajero	2015M07	5175659
Residentes en España	Viajero	2015M06	4587906
Residentes en España	Viajero	2015M05	4102767
Residentes en España	Viajero	2015M04	4031142
Residentes en España	Viajero	2015M03	3490443
Residentes en España	Viajero	2015M02	2878965
Residentes en España	Viajero	2015M01	2393392
Residentes en España	Viajero	2014M12	3062373
Residentes en España	Viajero	2014M11	2962597
Residentes en España	Viajero	2014M10	3801189
Residentes en España	Viajero	2014M09	4271468
Residentes en España	Viajero	2014M08	5684286
Residentes en España	Viajero	2014M07	4798578
Residentes en España	Viajero	2014M06	4270431
Residentes en España	Viajero	2014M05	3901968
Residentes en España	Viajero	2014M04	3840663
Residentes en España	Viajero	2014M03	3161425
Residentes en España	Viajero	2014M02	2739686
Residentes en España	Viajero	2014M01	2188084
Residentes en España	Viajero	2013M12	2830104
Residentes en España	Viajero	2013M11	2962040
Residentes en España	Viajero	2013M10	3529310
Residentes en España	Viajero	2013M09	4055351
Residentes en España	Viajero	2013M08	5426618
Residentes en España	Viajero	2013M07	4622498
Residentes en España	Viajero	2013M06	4109160
Residentes en España	Viajero	2013M05	3678011
Residentes en España	Viajero	2013M04	3107991
Residentes en España	Viajero	2013M03	3596941
Residentes en España	Viajero	2013M02	2543898
Residentes en España	Viajero	2013M01	2107452
Residentes en España	Viajero	2012M12	2644571
Residentes en España	Viajero	2012M11	2730498
Residentes en España	Viajero	2012M10	3551117
Residentes en España	Viajero	2012M09	4020495
Residentes en España	Viajero	2012M08	5213797
Residentes en España	Viajero	2012M07	4578014
Residentes en España	Viajero	2012M06	4164269
Residentes en España	Viajero	2012M05	3610640
Residentes en España	Viajero	2012M04	3877984
Residentes en España	Viajero	2012M03	3344772
Residentes en España	Viajero	2012M02	2898921
Residentes en España	Viajero	2012M01	2390674
Residentes en España	Viajero	2011M12	2893004
Residentes en España	Viajero	2011M11	2891744
Residentes en España	Viajero	2011M10	3909150
Residentes en España	Viajero	2011M09	4424189
Residentes en España	Viajero	2011M08	5615032
Residentes en España	Viajero	2011M07	5093546
Residentes en España	Viajero	2011M06	4430197
Residentes en España	Viajero	2011M05	3746751
Residentes en España	Viajero	2011M04	4088344
Residentes en España	Viajero	2011M03	3380332
Residentes en España	Viajero	2011M02	2994483
Residentes en España	Viajero	2011M01	2358110
Residentes en España	Viajero	2010M12	3000911
Residentes en España	Viajero	2010M11	2990886
Residentes en España	Viajero	2010M10	4186876
Residentes en España	Viajero	2010M09	4307901
Residentes en España	Viajero	2010M08	5599468
Residentes en España	Viajero	2010M07	5002604
Residentes en España	Viajero	2010M06	4386962
Residentes en España	Viajero	2010M05	4042148
Residentes en España	Viajero	2010M04	3877568
Residentes en España	Viajero	2010M03	3543609
Residentes en España	Viajero	2010M02	2943090
Residentes en España	Viajero	2010M01	2351307
Residentes en España	Viajero	2009M12	2936381
Residentes en España	Viajero	2009M11	2990558
Residentes en España	Viajero	2009M10	3959267
Residentes en España	Viajero	2009M09	4277206
Residentes en España	Viajero	2009M08	5563505
Residentes en España	Viajero	2009M07	4888672
Residentes en España	Viajero	2009M06	4188954
Residentes en España	Viajero	2009M05	3939334
Residentes en España	Viajero	2009M04	3878166
Residentes en España	Viajero	2009M03	3292594
Residentes en España	Viajero	2009M02	2892445
Residentes en España	Viajero	2009M01	2331000
Residentes en España	Viajero	2008M12	2829046
Residentes en España	Viajero	2008M11	3072911
Residentes en España	Viajero	2008M10	3839709
Residentes en España	Viajero	2008M09	4425435
Residentes en España	Viajero	2008M08	5584157
Residentes en España	Viajero	2008M07	4977811
Residentes en España	Viajero	2008M06	4443768
Residentes en España	Viajero	2008M05	4226211
Residentes en España	Viajero	2008M04	3744345
Residentes en España	Viajero	2008M03	4097905
Residentes en España	Viajero	2008M02	3326713
Residentes en España	Viajero	2008M01	2673147
Residentes en España	Viajero	2007M12	3064815
Residentes en España	Viajero	2007M11	3502020
Residentes en España	Viajero	2007M10	4224929
Residentes en España	Viajero	2007M09	4604220
Residentes en España	Viajero	2007M08	5654061
Residentes en España	Viajero	2007M07	5003539
Residentes en España	Viajero	2007M06	4658070
Residentes en España	Viajero	2007M05	4015617
Residentes en España	Viajero	2007M04	4450863
Residentes en España	Viajero	2007M03	3769341
Residentes en España	Viajero	2007M02	3088894
Residentes en España	Viajero	2007M01	2604319
Residentes en España	Viajero	2006M12	3125022
Residentes en España	Viajero	2006M11	3254904
Residentes en España	Viajero	2006M10	4146937
Residentes en España	Viajero	2006M09	4563672
Residentes en España	Viajero	2006M08	5553617
Residentes en España	Viajero	2006M07	4941982
Residentes en España	Viajero	2006M06	4371721
Residentes en España	Viajero	2006M05	3947962
Residentes en España	Viajero	2006M04	4390094
Residentes en España	Viajero	2006M03	3553339
Residentes en España	Viajero	2006M02	3043034
Residentes en España	Viajero	2006M01	2551856
Residentes en España	Viajero	2005M12	2702235
Residentes en España	Viajero	2005M11	2898398
Residentes en España	Viajero	2005M10	3628419
Residentes en España	Viajero	2005M09	4038043
Residentes en España	Viajero	2005M08	4985733
Residentes en España	Viajero	2005M07	4366698
Residentes en España	Viajero	2005M06	3865747
Residentes en España	Viajero	2005M05	3646228
Residentes en España	Viajero	2005M04	3316778
Residentes en España	Viajero	2005M03	3391717
Residentes en España	Viajero	2005M02	2621061
Residentes en España	Viajero	2005M01	2139281
Residentes en España	Viajero	2004M12	2654019
Residentes en España	Viajero	2004M11	2670646
Residentes en España	Viajero	2004M10	3563172
Residentes en España	Viajero	2004M09	3866299
Residentes en España	Viajero	2004M08	4762452
Residentes en España	Viajero	2004M07	4051344
Residentes en España	Viajero	2004M06	3650036
Residentes en España	Viajero	2004M05	3232971
Residentes en España	Viajero	2004M04	3310414
Residentes en España	Viajero	2004M03	2886872
Residentes en España	Viajero	2004M02	2548353
Residentes en España	Viajero	2004M01	2014826
Residentes en España	Viajero	2003M12	2381098
Residentes en España	Viajero	2003M11	2478930
Residentes en España	Viajero	2003M10	2961468
Residentes en España	Viajero	2003M09	3508436
Residentes en España	Viajero	2003M08	4321876
Residentes en España	Viajero	2003M07	3604009
Residentes en España	Viajero	2003M06	3268531
Residentes en España	Viajero	2003M05	2987830
Residentes en España	Viajero	2003M04	3096315
Residentes en España	Viajero	2003M03	2621941
Residentes en España	Viajero	2003M02	2185902
Residentes en España	Viajero	2003M01	1866434
Residentes en España	Viajero	2002M12	2239496
Residentes en España	Viajero	2002M11	2363666
Residentes en España	Viajero	2002M10	2841697
Residentes en España	Viajero	2002M09	3206586
Residentes en España	Viajero	2002M08	4093306
Residentes en España	Viajero	2002M07	3326284
Residentes en España	Viajero	2002M06	2909167
Residentes en España	Viajero	2002M05	2800938
Residentes en España	Viajero	2002M04	2626016
Residentes en España	Viajero	2002M03	2863303
Residentes en España	Viajero	2002M02	2163645
Residentes en España	Viajero	2002M01	1824018
Residentes en España	Viajero	2001M12	2104053
Residentes en España	Viajero	2001M11	2336166
Residentes en España	Viajero	2001M10	2859626
Residentes en España	Viajero	2001M09	3223605
Residentes en España	Viajero	2001M08	3917546
Residentes en España	Viajero	2001M07	3244732
Residentes en España	Viajero	2001M06	2946672
Residentes en España	Viajero	2001M05	2664737
Residentes en España	Viajero	2001M04	3020317
Residentes en España	Viajero	2001M03	2519243
Residentes en España	Viajero	2001M02	2179135
Residentes en España	Viajero	2001M01	1876469
Residentes en España	Viajero	2000M12	2176222
Residentes en España	Viajero	2000M11	2283268
Residentes en España	Viajero	2000M10	2798565
Residentes en España	Viajero	2000M09	3188546
Residentes en España	Viajero	2000M08	3805934
Residentes en España	Viajero	2000M07	3187268
Residentes en España	Viajero	2000M06	2853802
Residentes en España	Viajero	2000M05	2656249
Residentes en España	Viajero	2000M04	2941255
Residentes en España	Viajero	2000M03	2405046
Residentes en España	Viajero	2000M02	2098381
Residentes en España	Viajero	2000M01	1738456
Residentes en España	Viajero	1999M12	2130796
Residentes en España	Viajero	1999M11	2132074
Residentes en España	Viajero	1999M10	2844631
Residentes en España	Viajero	1999M09	3220763
Residentes en España	Viajero	1999M08	3753975
Residentes en España	Viajero	1999M07	3300631
Residentes en España	Viajero	1999M06	2829189
Residentes en España	Viajero	1999M05	2708247
Residentes en España	Viajero	1999M04	2738154
Residentes en España	Viajero	1999M03	2462481
Residentes en España	Viajero	1999M02	1971767
Residentes en España	Viajero	1999M01	1696976
Residentes en España	Pernoctaciones	2025M03	8016309
Residentes en España	Pernoctaciones	2025M02	6567323
Residentes en España	Pernoctaciones	2025M01	5735585
Residentes en España	Pernoctaciones	2024M12	7212015
Residentes en España	Pernoctaciones	2024M11	7641047
Residentes en España	Pernoctaciones	2024M10	9668865
Residentes en España	Pernoctaciones	2024M09	11701195
Residentes en España	Pernoctaciones	2024M08	17325504
Residentes en España	Pernoctaciones	2024M07	14790887
Residentes en España	Pernoctaciones	2024M06	12257046
Residentes en España	Pernoctaciones	2024M05	10580572
Residentes en España	Pernoctaciones	2024M04	8911869
Residentes en España	Pernoctaciones	2024M03	9421644
Residentes en España	Pernoctaciones	2024M02	6774732
Residentes en España	Pernoctaciones	2024M01	5762176
Residentes en España	Pernoctaciones	2023M12	7363463
Residentes en España	Pernoctaciones	2023M11	6957475
Residentes en España	Pernoctaciones	2023M10	9662174
Residentes en España	Pernoctaciones	2023M09	11783151
Residentes en España	Pernoctaciones	2023M08	17548462
Residentes en España	Pernoctaciones	2023M07	15303797
Residentes en España	Pernoctaciones	2023M06	12216070
Residentes en España	Pernoctaciones	2023M05	9784069
Residentes en España	Pernoctaciones	2023M04	10749390
Residentes en España	Pernoctaciones	2023M03	8037671
Residentes en España	Pernoctaciones	2023M02	6508332
Residentes en España	Pernoctaciones	2023M01	5810812
Residentes en España	Pernoctaciones	2022M12	7121128
Residentes en España	Pernoctaciones	2022M11	7046984
Residentes en España	Pernoctaciones	2022M10	9771323
Residentes en España	Pernoctaciones	2022M09	12065204
Residentes en España	Pernoctaciones	2022M08	18268800
Residentes en España	Pernoctaciones	2022M07	15608687
Residentes en España	Pernoctaciones	2022M06	12216496
Residentes en España	Pernoctaciones	2022M05	10052067
Residentes en España	Pernoctaciones	2022M04	10260559
Residentes en España	Pernoctaciones	2022M03	7071757
Residentes en España	Pernoctaciones	2022M02	6018570
Residentes en España	Pernoctaciones	2022M01	4536018
Residentes en España	Pernoctaciones	2021M12	6316273
Residentes en España	Pernoctaciones	2021M11	6088018
Residentes en España	Pernoctaciones	2021M10	9526090
Residentes en España	Pernoctaciones	2021M09	11812962
Residentes en España	Pernoctaciones	2021M08	19570475
Residentes en España	Pernoctaciones	2021M07	14839925
Residentes en España	Pernoctaciones	2021M06	8961374
Residentes en España	Pernoctaciones	2021M05	4695099
Residentes en España	Pernoctaciones	2021M04	2841406
Residentes en España	Pernoctaciones	2021M03	2591447
Residentes en España	Pernoctaciones	2021M02	1774784
Residentes en España	Pernoctaciones	2021M01	1682063
Residentes en España	Pernoctaciones	2020M12	2023056
Residentes en España	Pernoctaciones	2020M11	1799183
Residentes en España	Pernoctaciones	2020M10	3758168
Residentes en España	Pernoctaciones	2020M09	6393060
Residentes en España	Pernoctaciones	2020M08	12058039
Residentes en España	Pernoctaciones	2020M07	7561439
Residentes en España	Pernoctaciones	2020M06	1548421
Residentes en España	Pernoctaciones	2020M05	220577
Residentes en España	Pernoctaciones	2020M04	0
Residentes en España	Pernoctaciones	2020M03	3080076
Residentes en España	Pernoctaciones	2020M02	7003972
Residentes en España	Pernoctaciones	2020M01	5705057
Residentes en España	Pernoctaciones	2019M12	7026688
Residentes en España	Pernoctaciones	2019M11	7200004
Residentes en España	Pernoctaciones	2019M10	8784169
Residentes en España	Pernoctaciones	2019M09	11541054
Residentes en España	Pernoctaciones	2019M08	18245766
Residentes en España	Pernoctaciones	2019M07	14871768
Residentes en España	Pernoctaciones	2019M06	11606159
Residentes en España	Pernoctaciones	2019M05	9830228
Residentes en España	Pernoctaciones	2019M04	10124829
Residentes en España	Pernoctaciones	2019M03	8482404
Residentes en España	Pernoctaciones	2019M02	6396288
Residentes en España	Pernoctaciones	2019M01	5499882
Residentes en España	Pernoctaciones	2018M12	6953070
Residentes en España	Pernoctaciones	2018M11	7155122
Residentes en España	Pernoctaciones	2018M10	9285954
Residentes en España	Pernoctaciones	2018M09	11410767
Residentes en España	Pernoctaciones	2018M08	17534070
Residentes en España	Pernoctaciones	2018M07	14185066
Residentes en España	Pernoctaciones	2018M06	10857338
Residentes en España	Pernoctaciones	2018M05	9188503
Residentes en España	Pernoctaciones	2018M04	9259508
Residentes en España	Pernoctaciones	2018M03	8972022
Residentes en España	Pernoctaciones	2018M02	6238722
Residentes en España	Pernoctaciones	2018M01	5459601
Residentes en España	Pernoctaciones	2017M12	6983672
Residentes en España	Pernoctaciones	2017M11	6723998
Residentes en España	Pernoctaciones	2017M10	9259019
Residentes en España	Pernoctaciones	2017M09	11355257
Residentes en España	Pernoctaciones	2017M08	17063116
Residentes en España	Pernoctaciones	2017M07	14336386
Residentes en España	Pernoctaciones	2017M06	10850740
Residentes en España	Pernoctaciones	2017M05	9023683
Residentes en España	Pernoctaciones	2017M04	10757733
Residentes en España	Pernoctaciones	2017M03	7938883
Residentes en España	Pernoctaciones	2017M02	6225212
Residentes en España	Pernoctaciones	2017M01	5316890
Residentes en España	Pernoctaciones	2016M12	6581936
Residentes en España	Pernoctaciones	2016M11	6476574
Residentes en España	Pernoctaciones	2016M10	9442129
Residentes en España	Pernoctaciones	2016M09	11216422
Residentes en España	Pernoctaciones	2016M08	17245641
Residentes en España	Pernoctaciones	2016M07	14586701
Residentes en España	Pernoctaciones	2016M06	10350864
Residentes en España	Pernoctaciones	2016M05	8999173
Residentes en España	Pernoctaciones	2016M04	7980979
Residentes en España	Pernoctaciones	2016M03	9419601
Residentes en España	Pernoctaciones	2016M02	6510315
Residentes en España	Pernoctaciones	2016M01	5428798
Residentes en España	Pernoctaciones	2015M12	6344526
Residentes en España	Pernoctaciones	2015M11	5860457
Residentes en España	Pernoctaciones	2015M10	8586116
Residentes en España	Pernoctaciones	2015M09	10930759
Residentes en España	Pernoctaciones	2015M08	17276215
Residentes en España	Pernoctaciones	2015M07	13870398
Residentes en España	Pernoctaciones	2015M06	10571055
Residentes en España	Pernoctaciones	2015M05	8808445
Residentes en España	Pernoctaciones	2015M04	9487491
Residentes en España	Pernoctaciones	2015M03	7716464
Residentes en España	Pernoctaciones	2015M02	5821275
Residentes en España	Pernoctaciones	2015M01	4981703
Residentes en España	Pernoctaciones	2014M12	6055408
Residentes en España	Pernoctaciones	2014M11	6063282
Residentes en España	Pernoctaciones	2014M10	8177902
Residentes en España	Pernoctaciones	2014M09	10553437
Residentes en España	Pernoctaciones	2014M08	16450856
Residentes en España	Pernoctaciones	2014M07	12942831
Residentes en España	Pernoctaciones	2014M06	9869795
Residentes en España	Pernoctaciones	2014M05	8560446
Residentes en España	Pernoctaciones	2014M04	9014634
Residentes en España	Pernoctaciones	2014M03	7037862
Residentes en España	Pernoctaciones	2014M02	5456934
Residentes en España	Pernoctaciones	2014M01	4546501
Residentes en España	Pernoctaciones	2013M12	5694832
Residentes en España	Pernoctaciones	2013M11	6205146
Residentes en España	Pernoctaciones	2013M10	7608032
Residentes en España	Pernoctaciones	2013M09	9939148
Residentes en España	Pernoctaciones	2013M08	15876358
Residentes en España	Pernoctaciones	2013M07	12499139
Residentes en España	Pernoctaciones	2013M06	9356983
Residentes en España	Pernoctaciones	2013M05	8196987
Residentes en España	Pernoctaciones	2013M04	7172337
Residentes en España	Pernoctaciones	2013M03	8339921
Residentes en España	Pernoctaciones	2013M02	5276907
Residentes en España	Pernoctaciones	2013M01	4468136
Residentes en España	Pernoctaciones	2012M12	5308780
Residentes en España	Pernoctaciones	2012M11	5488094
Residentes en España	Pernoctaciones	2012M10	7582005
Residentes en España	Pernoctaciones	2012M09	9962269
Residentes en España	Pernoctaciones	2012M08	15488372
Residentes en España	Pernoctaciones	2012M07	12610694
Residentes en España	Pernoctaciones	2012M06	9674462
Residentes en España	Pernoctaciones	2012M05	7846939
Residentes en España	Pernoctaciones	2012M04	9338052
Residentes en España	Pernoctaciones	2012M03	7541920
Residentes en España	Pernoctaciones	2012M02	6183754
Residentes en España	Pernoctaciones	2012M01	5075907
Residentes en España	Pernoctaciones	2011M12	6081180
Residentes en España	Pernoctaciones	2011M11	6287934
Residentes en España	Pernoctaciones	2011M10	8516886
Residentes en España	Pernoctaciones	2011M09	11198508
Residentes en España	Pernoctaciones	2011M08	17294136
Residentes en España	Pernoctaciones	2011M07	14101982
Residentes en España	Pernoctaciones	2011M06	10605101
Residentes en España	Pernoctaciones	2011M05	8359843
Residentes en España	Pernoctaciones	2011M04	9878278
Residentes en España	Pernoctaciones	2011M03	7754018
Residentes en España	Pernoctaciones	2011M02	6357361
