Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Periodo	Total
Total Nacional	01 Andalucía	04 Almería	2011M03	4,16
Total Nacional	01 Andalucía	04 Almería	2011M02	3,91
Total Nacional	01 Andalucía	04 Almería	2011M01	4,09
Total Nacional	01 Andalucía	04 Almería	2010M12	3,04
Total Nacional	01 Andalucía	04 Almería	2010M11	3,54
Total Nacional	01 Andalucía	04 Almería	2010M10	3,31
Total Nacional	01 Andalucía	04 Almería	2010M09	3,94
Total Nacional	01 Andalucía	04 Almería	2010M08	4,71
Total Nacional	01 Andalucía	04 Almería	2010M07	4,39
Total Nacional	01 Andalucía	04 Almería	2010M06	3,35
Total Nacional	01 Andalucía	04 Almería	2010M05	3,4
Total Nacional	01 Andalucía	04 Almería	2010M04	3,74
Total Nacional	01 Andalucía	04 Almería	2010M03	4,02
Total Nacional	01 Andalucía	04 Almería	2010M02	3,76
Total Nacional	01 Andalucía	04 Almería	2010M01	4,17
Total Nacional	01 Andalucía	04 Almería	2009M12	2,96
Total Nacional	01 Andalucía	04 Almería	2009M11	3,38
Total Nacional	01 Andalucía	04 Almería	2009M10	3,34
Total Nacional	01 Andalucía	04 Almería	2009M09	3,7
Total Nacional	01 Andalucía	04 Almería	2009M08	4,38
Total Nacional	01 Andalucía	04 Almería	2009M07	4,15
Total Nacional	01 Andalucía	04 Almería	2009M06	3,42
Total Nacional	01 Andalucía	04 Almería	2009M05	3,25
Total Nacional	01 Andalucía	04 Almería	2009M04	3,64
Total Nacional	01 Andalucía	04 Almería	2009M03	3,95
Total Nacional	01 Andalucía	04 Almería	2009M02	3,74
Total Nacional	01 Andalucía	04 Almería	2009M01	4,05
Total Nacional	01 Andalucía	04 Almería	2008M12	3,04
Total Nacional	01 Andalucía	04 Almería	2008M11	3,42
Total Nacional	01 Andalucía	04 Almería	2008M10	3,31
Total Nacional	01 Andalucía	04 Almería	2008M09	3,67
Total Nacional	01 Andalucía	04 Almería	2008M08	4,37
Total Nacional	01 Andalucía	04 Almería	2008M07	3,91
Total Nacional	01 Andalucía	04 Almería	2008M06	3,47
Total Nacional	01 Andalucía	04 Almería	2008M05	3,68
Total Nacional	01 Andalucía	04 Almería	2008M04	3,54
Total Nacional	01 Andalucía	04 Almería	2008M03	3,83
Total Nacional	01 Andalucía	04 Almería	2008M02	4,15
Total Nacional	01 Andalucía	04 Almería	2008M01	4,53
Total Nacional	01 Andalucía	04 Almería	2007M12	3,48
Total Nacional	01 Andalucía	04 Almería	2007M11	3,75
Total Nacional	01 Andalucía	04 Almería	2007M10	3,32
Total Nacional	01 Andalucía	04 Almería	2007M09	3,66
Total Nacional	01 Andalucía	04 Almería	2007M08	4,25
Total Nacional	01 Andalucía	04 Almería	2007M07	4,04
Total Nacional	01 Andalucía	04 Almería	2007M06	3,57
Total Nacional	01 Andalucía	04 Almería	2007M05	3,63
Total Nacional	01 Andalucía	04 Almería	2007M04	3,66
Total Nacional	01 Andalucía	04 Almería	2007M03	3,66
Total Nacional	01 Andalucía	04 Almería	2007M02	3,66
Total Nacional	01 Andalucía	04 Almería	2007M01	4,37
Total Nacional	01 Andalucía	04 Almería	2006M12	3,74
Total Nacional	01 Andalucía	04 Almería	2006M11	3,88
Total Nacional	01 Andalucía	04 Almería	2006M10	3,81
Total Nacional	01 Andalucía	04 Almería	2006M09	4,5
Total Nacional	01 Andalucía	04 Almería	2006M08	4,29
Total Nacional	01 Andalucía	04 Almería	2006M07	4,37
Total Nacional	01 Andalucía	04 Almería	2006M06	4,12
Total Nacional	01 Andalucía	04 Almería	2006M05	3,52
Total Nacional	01 Andalucía	04 Almería	2006M04	3,36
Total Nacional	01 Andalucía	04 Almería	2006M03	3,81
Total Nacional	01 Andalucía	04 Almería	2006M02	3,85
Total Nacional	01 Andalucía	04 Almería	2006M01	4,01
Total Nacional	01 Andalucía	04 Almería	2005M12	4,29
Total Nacional	01 Andalucía	04 Almería	2005M11	4,31
Total Nacional	01 Andalucía	04 Almería	2005M10	4,38
Total Nacional	01 Andalucía	04 Almería	2005M09	4,57
Total Nacional	01 Andalucía	04 Almería	2005M08	5,05
Total Nacional	01 Andalucía	04 Almería	2005M07	5,06
Total Nacional	01 Andalucía	04 Almería	2005M06	3,92
Total Nacional	01 Andalucía	04 Almería	2005M05	3,66
Total Nacional	01 Andalucía	04 Almería	2005M04	3,61
Total Nacional	01 Andalucía	04 Almería	2005M03	3,94
Total Nacional	01 Andalucía	04 Almería	2005M02	4,92
Total Nacional	01 Andalucía	04 Almería	2005M01	5,43
Total Nacional	01 Andalucía	04 Almería	2004M12	4,05
Total Nacional	01 Andalucía	04 Almería	2004M11	4,25
Total Nacional	01 Andalucía	04 Almería	2004M10	4,19
Total Nacional	01 Andalucía	04 Almería	2004M09	5,09
Total Nacional	01 Andalucía	04 Almería	2004M08	4,85
Total Nacional	01 Andalucía	04 Almería	2004M07	4,95
Total Nacional	01 Andalucía	04 Almería	2004M06	3,94
Total Nacional	01 Andalucía	04 Almería	2004M05	3,9
Total Nacional	01 Andalucía	04 Almería	2004M04	4,12
Total Nacional	01 Andalucía	04 Almería	2004M03	4,29
Total Nacional	01 Andalucía	04 Almería	2004M02	4,29
Total Nacional	01 Andalucía	04 Almería	2004M01	4,53
Total Nacional	01 Andalucía	04 Almería	2003M12	3,53
Total Nacional	01 Andalucía	04 Almería	2003M11	3,76
Total Nacional	01 Andalucía	04 Almería	2003M10	4,31
Total Nacional	01 Andalucía	04 Almería	2003M09	4,94
Total Nacional	01 Andalucía	04 Almería	2003M08	5
Total Nacional	01 Andalucía	04 Almería	2003M07	5,3
Total Nacional	01 Andalucía	04 Almería	2003M06	4,34
Total Nacional	01 Andalucía	04 Almería	2003M05	3,87
Total Nacional	01 Andalucía	04 Almería	2003M04	3,76
Total Nacional	01 Andalucía	04 Almería	2003M03	4,7
Total Nacional	01 Andalucía	04 Almería	2003M02	4,56
Total Nacional	01 Andalucía	04 Almería	2003M01	4,66
Total Nacional	01 Andalucía	04 Almería	2002M12	3,62
Total Nacional	01 Andalucía	04 Almería	2002M11	3,3
Total Nacional	01 Andalucía	04 Almería	2002M10	4,69
Total Nacional	01 Andalucía	04 Almería	2002M09	5,18
Total Nacional	01 Andalucía	04 Almería	2002M08	4,84
Total Nacional	01 Andalucía	04 Almería	2002M07	5,29
Total Nacional	01 Andalucía	04 Almería	2002M06	4,44
Total Nacional	01 Andalucía	04 Almería	2002M05	4,19
Total Nacional	01 Andalucía	04 Almería	2002M04	4,49
Total Nacional	01 Andalucía	04 Almería	2002M03	4,74
Total Nacional	01 Andalucía	04 Almería	2002M02	5,07
Total Nacional	01 Andalucía	04 Almería	2002M01	4,7
Total Nacional	01 Andalucía	04 Almería	2001M12	3,98
Total Nacional	01 Andalucía	04 Almería	2001M11	4,14
Total Nacional	01 Andalucía	04 Almería	2001M10	4,97
Total Nacional	01 Andalucía	04 Almería	2001M09	5,17
Total Nacional	01 Andalucía	04 Almería	2001M08	4,96
Total Nacional	01 Andalucía	04 Almería	2001M07	5,85
Total Nacional	01 Andalucía	04 Almería	2001M06	4,84
Total Nacional	01 Andalucía	04 Almería	2001M05	4,96
Total Nacional	01 Andalucía	04 Almería	2001M04	4,36
Total Nacional	01 Andalucía	04 Almería	2001M03	5,06
Total Nacional	01 Andalucía	04 Almería	2001M02	5,55
Total Nacional	01 Andalucía	04 Almería	2001M01	5,17
Total Nacional	01 Andalucía	04 Almería	2000M12	4,5
Total Nacional	01 Andalucía	04 Almería	2000M11	4,5
Total Nacional	01 Andalucía	04 Almería	2000M10	5,1
Total Nacional	01 Andalucía	04 Almería	2000M09	5
Total Nacional	01 Andalucía	04 Almería	2000M08	5,1
Total Nacional	01 Andalucía	04 Almería	2000M07	5,2
Total Nacional	01 Andalucía	04 Almería	2000M06	5
Total Nacional	01 Andalucía	04 Almería	2000M05	5,6
Total Nacional	01 Andalucía	04 Almería	2000M04	4,5
Total Nacional	01 Andalucía	04 Almería	2000M03	5,5
Total Nacional	01 Andalucía	04 Almería	2000M02	5,4
Total Nacional	01 Andalucía	04 Almería	2000M01	6,5
Total Nacional	01 Andalucía	04 Almería	1999M12	4,4
Total Nacional	01 Andalucía	04 Almería	1999M11	4,8
Total Nacional	01 Andalucía	04 Almería	1999M10	4,9
Total Nacional	01 Andalucía	04 Almería	1999M09	5,2
Total Nacional	01 Andalucía	04 Almería	1999M08	5,2
Total Nacional	01 Andalucía	04 Almería	1999M07	5
Total Nacional	01 Andalucía	04 Almería	1999M06	5,1
Total Nacional	01 Andalucía	04 Almería	1999M05	4,8
Total Nacional	01 Andalucía	04 Almería	1999M04	4,1
Total Nacional	01 Andalucía	04 Almería	1999M03	4,3
Total Nacional	01 Andalucía	04 Almería	1999M02	5,1
Total Nacional	01 Andalucía	04 Almería	1999M01	5,6
Total Nacional	01 Andalucía	11 Cádiz	2025M03	2,54
Total Nacional	01 Andalucía	11 Cádiz	2025M02	2,29
Total Nacional	01 Andalucía	11 Cádiz	2025M01	2,25
Total Nacional	01 Andalucía	11 Cádiz	2024M12	2,06
Total Nacional	01 Andalucía	11 Cádiz	2024M11	2,43
Total Nacional	01 Andalucía	11 Cádiz	2024M10	2,98
Total Nacional	01 Andalucía	11 Cádiz	2024M09	3,11
Total Nacional	01 Andalucía	11 Cádiz	2024M08	3,72
Total Nacional	01 Andalucía	11 Cádiz	2024M07	3,7
Total Nacional	01 Andalucía	11 Cádiz	2024M06	3,09
Total Nacional	01 Andalucía	11 Cádiz	2024M05	2,71
Total Nacional	01 Andalucía	11 Cádiz	2024M04	2,61
Total Nacional	01 Andalucía	11 Cádiz	2024M03	2,58
Total Nacional	01 Andalucía	11 Cádiz	2024M02	2,28
Total Nacional	01 Andalucía	11 Cádiz	2024M01	2,09
Total Nacional	01 Andalucía	11 Cádiz	2023M12	2,09
Total Nacional	01 Andalucía	11 Cádiz	2023M11	2,23
Total Nacional	01 Andalucía	11 Cádiz	2023M10	2,91
Total Nacional	01 Andalucía	11 Cádiz	2023M09	3,19
Total Nacional	01 Andalucía	11 Cádiz	2023M08	3,41
Total Nacional	01 Andalucía	11 Cádiz	2023M07	3,13
Total Nacional	01 Andalucía	11 Cádiz	2023M06	2,93
Total Nacional	01 Andalucía	11 Cádiz	2023M05	2,66
Total Nacional	01 Andalucía	11 Cádiz	2023M04	2,51
Total Nacional	01 Andalucía	11 Cádiz	2023M03	2,3
Total Nacional	01 Andalucía	11 Cádiz	2023M02	2,18
Total Nacional	01 Andalucía	11 Cádiz	2023M01	2,05
Total Nacional	01 Andalucía	11 Cádiz	2022M12	2,1
Total Nacional	01 Andalucía	11 Cádiz	2022M11	2,31
Total Nacional	01 Andalucía	11 Cádiz	2022M10	2,91
Total Nacional	01 Andalucía	11 Cádiz	2022M09	3,08
Total Nacional	01 Andalucía	11 Cádiz	2022M08	3,57
Total Nacional	01 Andalucía	11 Cádiz	2022M07	3,18
Total Nacional	01 Andalucía	11 Cádiz	2022M06	2,86
Total Nacional	01 Andalucía	11 Cádiz	2022M05	2,57
Total Nacional	01 Andalucía	11 Cádiz	2022M04	2,58
Total Nacional	01 Andalucía	11 Cádiz	2022M03	2,41
Total Nacional	01 Andalucía	11 Cádiz	2022M02	2,16
Total Nacional	01 Andalucía	11 Cádiz	2022M01	2,12
Total Nacional	01 Andalucía	11 Cádiz	2021M12	2,04
Total Nacional	01 Andalucía	11 Cádiz	2021M11	2,26
Total Nacional	01 Andalucía	11 Cádiz	2021M10	2,69
Total Nacional	01 Andalucía	11 Cádiz	2021M09	3,08
Total Nacional	01 Andalucía	11 Cádiz	2021M08	3,6
Total Nacional	01 Andalucía	11 Cádiz	2021M07	3,22
Total Nacional	01 Andalucía	11 Cádiz	2021M06	2,6
Total Nacional	01 Andalucía	11 Cádiz	2021M05	2,02
Total Nacional	01 Andalucía	11 Cádiz	2021M04	1,99
Total Nacional	01 Andalucía	11 Cádiz	2021M03	2,04
Total Nacional	01 Andalucía	11 Cádiz	2021M02	2
Total Nacional	01 Andalucía	11 Cádiz	2021M01	2
Total Nacional	01 Andalucía	11 Cádiz	2020M12	1,73
Total Nacional	01 Andalucía	11 Cádiz	2020M11	2,07
Total Nacional	01 Andalucía	11 Cádiz	2020M10	2,13
Total Nacional	01 Andalucía	11 Cádiz	2020M09	2,48
Total Nacional	01 Andalucía	11 Cádiz	2020M08	3,18
Total Nacional	01 Andalucía	11 Cádiz	2020M07	2,85
Total Nacional	01 Andalucía	11 Cádiz	2020M06	1,84
Total Nacional	01 Andalucía	11 Cádiz	2020M05	2,98
Total Nacional	01 Andalucía	11 Cádiz	2020M04	0
Total Nacional	01 Andalucía	11 Cádiz	2020M03	2,13
Total Nacional	01 Andalucía	11 Cádiz	2020M02	1,97
Total Nacional	01 Andalucía	11 Cádiz	2020M01	1,89
Total Nacional	01 Andalucía	11 Cádiz	2019M12	1,89
Total Nacional	01 Andalucía	11 Cádiz	2019M11	2,16
Total Nacional	01 Andalucía	11 Cádiz	2019M10	2,89
Total Nacional	01 Andalucía	11 Cádiz	2019M09	3,3
Total Nacional	01 Andalucía	11 Cádiz	2019M08	3,6
Total Nacional	01 Andalucía	11 Cádiz	2019M07	3,33
Total Nacional	01 Andalucía	11 Cádiz	2019M06	3
Total Nacional	01 Andalucía	11 Cádiz	2019M05	2,72
Total Nacional	01 Andalucía	11 Cádiz	2019M04	2,55
Total Nacional	01 Andalucía	11 Cádiz	2019M03	2,31
Total Nacional	01 Andalucía	11 Cádiz	2019M02	2,04
Total Nacional	01 Andalucía	11 Cádiz	2019M01	2,15
Total Nacional	01 Andalucía	11 Cádiz	2018M12	2,03
Total Nacional	01 Andalucía	11 Cádiz	2018M11	2,2
Total Nacional	01 Andalucía	11 Cádiz	2018M10	2,85
Total Nacional	01 Andalucía	11 Cádiz	2018M09	3,28
Total Nacional	01 Andalucía	11 Cádiz	2018M08	3,48
Total Nacional	01 Andalucía	11 Cádiz	2018M07	3,63
Total Nacional	01 Andalucía	11 Cádiz	2018M06	3,04
Total Nacional	01 Andalucía	11 Cádiz	2018M05	2,91
Total Nacional	01 Andalucía	11 Cádiz	2018M04	2,65
Total Nacional	01 Andalucía	11 Cádiz	2018M03	2,51
Total Nacional	01 Andalucía	11 Cádiz	2018M02	2,02
Total Nacional	01 Andalucía	11 Cádiz	2018M01	2,03
Total Nacional	01 Andalucía	11 Cádiz	2017M12	2,07
Total Nacional	01 Andalucía	11 Cádiz	2017M11	2,24
Total Nacional	01 Andalucía	11 Cádiz	2017M10	3,18
Total Nacional	01 Andalucía	11 Cádiz	2017M09	3,46
Total Nacional	01 Andalucía	11 Cádiz	2017M08	3,6
Total Nacional	01 Andalucía	11 Cádiz	2017M07	3,45
Total Nacional	01 Andalucía	11 Cádiz	2017M06	3,1
Total Nacional	01 Andalucía	11 Cádiz	2017M05	2,81
Total Nacional	01 Andalucía	11 Cádiz	2017M04	2,6
Total Nacional	01 Andalucía	11 Cádiz	2017M03	2,47
Total Nacional	01 Andalucía	11 Cádiz	2017M02	2,05
Total Nacional	01 Andalucía	11 Cádiz	2017M01	2,11
