RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Pernoctaciones;2012M08;40.581.091
Total;;Pernoctaciones;2012M07;37.395.658
Total;;Pernoctaciones;2012M06;30.243.838
Total;;Pernoctaciones;2012M05;24.628.932
Total;;Pernoctaciones;2012M04;21.445.224
Total;;Pernoctaciones;2012M03;17.393.498
Total;;Pernoctaciones;2012M02;14.163.457
Total;;Pernoctaciones;2012M01;12.600.203
Total;;Pernoctaciones;2011M12;13.044.798
Total;;Pernoctaciones;2011M11;14.674.921
Total;;Pernoctaciones;2011M10;24.764.256
Total;;Pernoctaciones;2011M09;32.099.863
Total;;Pernoctaciones;2011M08;41.694.917
Total;;Pernoctaciones;2011M07;37.980.214
Total;;Pernoctaciones;2011M06;30.704.218
Total;;Pernoctaciones;2011M05;24.670.723
Total;;Pernoctaciones;2011M04;22.618.769
Total;;Pernoctaciones;2011M03;18.086.818
Total;;Pernoctaciones;2011M02;14.238.644
Total;;Pernoctaciones;2011M01;12.183.118
Total;;Pernoctaciones;2010M12;12.778.595
Total;;Pernoctaciones;2010M11;14.363.392
Total;;Pernoctaciones;2010M10;23.976.893
Total;;Pernoctaciones;2010M09;29.696.355
Total;;Pernoctaciones;2010M08;39.085.826
Total;;Pernoctaciones;2010M07;34.909.440
Total;;Pernoctaciones;2010M06;27.357.010
Total;;Pernoctaciones;2010M05;23.982.979
Total;;Pernoctaciones;2010M04;19.843.019
Total;;Pernoctaciones;2010M03;16.752.851
Total;;Pernoctaciones;2010M02;13.108.750
Total;;Pernoctaciones;2010M01;11.308.373
Total;;Pernoctaciones;2009M12;12.030.368
Total;;Pernoctaciones;2009M11;13.255.271
Total;;Pernoctaciones;2009M10;21.752.259
Total;;Pernoctaciones;2009M09;27.387.006
Total;;Pernoctaciones;2009M08;36.192.581
Total;;Pernoctaciones;2009M07;32.764.251
Total;;Pernoctaciones;2009M06;26.082.353
Total;;Pernoctaciones;2009M05;22.661.503
Total;;Pernoctaciones;2009M04;19.591.068
Total;;Pernoctaciones;2009M03;15.536.341
Total;;Pernoctaciones;2009M02;12.527.991
Total;;Pernoctaciones;2009M01;11.203.819
Total;;Pernoctaciones;2008M12;11.946.130
Total;;Pernoctaciones;2008M11;13.685.099
Total;;Pernoctaciones;2008M10;22.253.202
Total;;Pernoctaciones;2008M09;29.305.643
Total;;Pernoctaciones;2008M08;37.945.216
Total;;Pernoctaciones;2008M07;34.559.658
Total;;Pernoctaciones;2008M06;27.737.509
Total;;Pernoctaciones;2008M05;25.060.656
Total;;Pernoctaciones;2008M04;19.300.764
Total;;Pernoctaciones;2008M03;19.216.126
Total;;Pernoctaciones;2008M02;14.831.691
Total;;Pernoctaciones;2008M01;12.710.146
Total;;Pernoctaciones;2007M12;13.356.493
Total;;Pernoctaciones;2007M11;15.289.839
Total;;Pernoctaciones;2007M10;23.476.804
Total;;Pernoctaciones;2007M09;30.142.242
Total;;Pernoctaciones;2007M08;38.132.493
Total;;Pernoctaciones;2007M07;34.315.590
Total;;Pernoctaciones;2007M06;28.459.008
Total;;Pernoctaciones;2007M05;23.486.608
Total;;Pernoctaciones;2007M04;21.690.169
Total;;Pernoctaciones;2007M03;17.428.802
Total;;Pernoctaciones;2007M02;13.555.040
Total;;Pernoctaciones;2007M01;12.356.394
Total;;Pernoctaciones;2006M12;13.141.207
Total;;Pernoctaciones;2006M11;14.269.663
Total;;Pernoctaciones;2006M10;23.372.257
Total;;Pernoctaciones;2006M09;29.918.731
Total;;Pernoctaciones;2006M08;37.636.214
Total;;Pernoctaciones;2006M07;34.105.558
Total;;Pernoctaciones;2006M06;27.996.368
Total;;Pernoctaciones;2006M05;23.734.897
Total;;Pernoctaciones;2006M04;21.185.887
Total;;Pernoctaciones;2006M03;16.370.344
Total;;Pernoctaciones;2006M02;13.221.070
Total;;Pernoctaciones;2006M01;12.075.662
Total;;Pernoctaciones;2005M12;11.572.418
Total;;Pernoctaciones;2005M11;13.162.420
Total;;Pernoctaciones;2005M10;22.163.277
Total;;Pernoctaciones;2005M09;28.313.666
Total;;Pernoctaciones;2005M08;35.857.571
Total;;Pernoctaciones;2005M07;31.022.067
Total;;Pernoctaciones;2005M06;25.042.689
Total;;Pernoctaciones;2005M05;22.318.874
Total;;Pernoctaciones;2005M04;16.480.644
Total;;Pernoctaciones;2005M03;16.184.767
Total;;Pernoctaciones;2005M02;12.430.710
Total;;Pernoctaciones;2005M01;11.088.055
Total;;Pernoctaciones;2004M12;11.384.786
Total;;Pernoctaciones;2004M11;12.294.550
Total;;Pernoctaciones;2004M10;21.180.295
Total;;Pernoctaciones;2004M09;26.878.757
Total;;Pernoctaciones;2004M08;34.472.302
Total;;Pernoctaciones;2004M07;29.131.986
Total;;Pernoctaciones;2004M06;23.776.940
