RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Pernoctaciones;1999M06;24.313.223
Total;;Pernoctaciones;1999M05;21.966.528
Total;;Pernoctaciones;1999M04;17.472.798
Total;;Pernoctaciones;1999M03;14.212.113
Total;;Pernoctaciones;1999M02;11.451.100
Total;;Pernoctaciones;1999M01;10.406.167
Total;Residentes en España;Viajero;2025M04;4.547.495
Total;Residentes en España;Viajero;2025M03;3.780.529
Total;Residentes en España;Viajero;2025M02;3.419.893
Total;Residentes en España;Viajero;2025M01;2.919.287
Total;Residentes en España;Viajero;2024M12;3.649.144
Total;Residentes en España;Viajero;2024M11;3.764.839
Total;Residentes en España;Viajero;2024M10;4.524.933
Total;Residentes en España;Viajero;2024M09;5.009.311
Total;Residentes en España;Viajero;2024M08;6.356.384
Total;Residentes en España;Viajero;2024M07;5.748.404
Total;Residentes en España;Viajero;2024M06;5.399.073
Total;Residentes en España;Viajero;2024M05;4.926.356
Total;Residentes en España;Viajero;2024M04;4.181.084
Total;Residentes en España;Viajero;2024M03;4.412.670
Total;Residentes en España;Viajero;2024M02;3.422.317
Total;Residentes en España;Viajero;2024M01;2.919.329
Total;Residentes en España;Viajero;2023M12;3.736.128
Total;Residentes en España;Viajero;2023M11;3.586.759
Total;Residentes en España;Viajero;2023M10;4.589.155
Total;Residentes en España;Viajero;2023M09;5.122.862
Total;Residentes en España;Viajero;2023M08;6.381.789
Total;Residentes en España;Viajero;2023M07;6.012.479
Total;Residentes en España;Viajero;2023M06;5.455.490
Total;Residentes en España;Viajero;2023M05;4.553.381
Total;Residentes en España;Viajero;2023M04;4.983.861
Total;Residentes en España;Viajero;2023M03;3.983.218
Total;Residentes en España;Viajero;2023M02;3.337.995
Total;Residentes en España;Viajero;2023M01;2.964.949
Total;Residentes en España;Viajero;2022M12;3.567.132
Total;Residentes en España;Viajero;2022M11;3.541.109
Total;Residentes en España;Viajero;2022M10;4.657.750
Total;Residentes en España;Viajero;2022M09;5.178.258
Total;Residentes en España;Viajero;2022M08;6.526.507
Total;Residentes en España;Viajero;2022M07;6.075.062
Total;Residentes en España;Viajero;2022M06;5.422.886
Total;Residentes en España;Viajero;2022M05;4.672.236
Total;Residentes en España;Viajero;2022M04;4.733.976
Total;Residentes en España;Viajero;2022M03;3.432.900
Total;Residentes en España;Viajero;2022M02;3.164.177
Total;Residentes en España;Viajero;2022M01;2.342.492
Total;Residentes en España;Viajero;2021M12;3.164.988
Total;Residentes en España;Viajero;2021M11;3.218.059
Total;Residentes en España;Viajero;2021M10;4.590.112
Total;Residentes en España;Viajero;2021M09;4.952.050
Total;Residentes en España;Viajero;2021M08;6.935.006
Total;Residentes en España;Viajero;2021M07;5.772.248
Total;Residentes en España;Viajero;2021M06;4.179.628
Total;Residentes en España;Viajero;2021M05;2.580.060
Total;Residentes en España;Viajero;2021M04;1.559.023
Total;Residentes en España;Viajero;2021M03;1.456.708
Total;Residentes en España;Viajero;2021M02;975.226
Total;Residentes en España;Viajero;2021M01;889.575
Total;Residentes en España;Viajero;2020M12;1.097.429
Total;Residentes en España;Viajero;2020M11;925.018
Total;Residentes en España;Viajero;2020M10;1.917.987
Total;Residentes en España;Viajero;2020M09;2.905.879
Total;Residentes en España;Viajero;2020M08;4.648.568
Total;Residentes en España;Viajero;2020M07;3.271.958
Total;Residentes en España;Viajero;2020M06;824.393
Total;Residentes en España;Viajero;2020M05;84.804
Total;Residentes en España;Viajero;2020M04;0
Total;Residentes en España;Viajero;2020M03;1.455.613
Total;Residentes en España;Viajero;2020M02;3.636.463
Total;Residentes en España;Viajero;2020M01;2.926.703
Total;Residentes en España;Viajero;2019M12;3.577.792
Total;Residentes en España;Viajero;2019M11;3.585.911
Total;Residentes en España;Viajero;2019M10;4.321.124
Total;Residentes en España;Viajero;2019M09;4.809.515
Total;Residentes en España;Viajero;2019M08;6.432.729
Total;Residentes en España;Viajero;2019M07;5.669.457
Total;Residentes en España;Viajero;2019M06;5.183.371
Total;Residentes en España;Viajero;2019M05;4.578.814
Total;Residentes en España;Viajero;2019M04;4.470.668
Total;Residentes en España;Viajero;2019M03;4.033.782
Total;Residentes en España;Viajero;2019M02;3.315.368
Total;Residentes en España;Viajero;2019M01;2.755.656
Total;Residentes en España;Viajero;2018M12;3.494.108
Total;Residentes en España;Viajero;2018M11;3.551.431
Total;Residentes en España;Viajero;2018M10;4.354.922
Total;Residentes en España;Viajero;2018M09;4.840.570
Total;Residentes en España;Viajero;2018M08;6.181.557
Total;Residentes en España;Viajero;2018M07;5.380.698
Total;Residentes en España;Viajero;2018M06;4.868.754
Total;Residentes en España;Viajero;2018M05;4.250.360
Total;Residentes en España;Viajero;2018M04;4.154.873
Total;Residentes en España;Viajero;2018M03;4.136.756
Total;Residentes en España;Viajero;2018M02;3.208.522
Total;Residentes en España;Viajero;2018M01;2.743.159
Total;Residentes en España;Viajero;2017M12;3.461.708
Total;Residentes en España;Viajero;2017M11;3.340.928
Total;Residentes en España;Viajero;2017M10;4.302.582
Total;Residentes en España;Viajero;2017M09;4.762.659
Total;Residentes en España;Viajero;2017M08;5.970.747
Total;Residentes en España;Viajero;2017M07;5.453.609
Total;Residentes en España;Viajero;2017M06;4.785.681
Total;Residentes en España;Viajero;2017M05;4.177.945
Total;Residentes en España;Viajero;2017M04;4.688.384
Total;Residentes en España;Viajero;2017M03;3.706.176
Total;Residentes en España;Viajero;2017M02;3.157.734
Total;Residentes en España;Viajero;2017M01;2.655.015
Total;Residentes en España;Viajero;2016M12;3.231.853
Total;Residentes en España;Viajero;2016M11;3.186.298
Total;Residentes en España;Viajero;2016M10;4.358.634
Total;Residentes en España;Viajero;2016M09;4.672.782
Total;Residentes en España;Viajero;2016M08;5.993.466
Total;Residentes en España;Viajero;2016M07;5.504.356
Total;Residentes en España;Viajero;2016M06;4.723.090
Total;Residentes en España;Viajero;2016M05;4.197.064
Total;Residentes en España;Viajero;2016M04;3.755.761
Total;Residentes en España;Viajero;2016M03;4.110.169
Total;Residentes en España;Viajero;2016M02;3.191.750
Total;Residentes en España;Viajero;2016M01;2.618.022
Total;Residentes en España;Viajero;2015M12;3.220.404
Total;Residentes en España;Viajero;2015M11;3.055.877
Total;Residentes en España;Viajero;2015M10;4.137.843
Total;Residentes en España;Viajero;2015M09;4.504.038
Total;Residentes en España;Viajero;2015M08;5.945.162
Total;Residentes en España;Viajero;2015M07;5.175.659
Total;Residentes en España;Viajero;2015M06;4.587.906
Total;Residentes en España;Viajero;2015M05;4.102.767
Total;Residentes en España;Viajero;2015M04;4.031.142
Total;Residentes en España;Viajero;2015M03;3.490.443
Total;Residentes en España;Viajero;2015M02;2.878.965
Total;Residentes en España;Viajero;2015M01;2.393.392
Total;Residentes en España;Viajero;2014M12;3.062.373
Total;Residentes en España;Viajero;2014M11;2.962.597
Total;Residentes en España;Viajero;2014M10;3.801.189
Total;Residentes en España;Viajero;2014M09;4.271.468
Total;Residentes en España;Viajero;2014M08;5.684.286
Total;Residentes en España;Viajero;2014M07;4.798.578
Total;Residentes en España;Viajero;2014M06;4.270.431
Total;Residentes en España;Viajero;2014M05;3.901.968
Total;Residentes en España;Viajero;2014M04;3.840.663
Total;Residentes en España;Viajero;2014M03;3.161.425
Total;Residentes en España;Viajero;2014M02;2.739.686
Total;Residentes en España;Viajero;2014M01;2.188.084
Total;Residentes en España;Viajero;2013M12;2.830.104
Total;Residentes en España;Viajero;2013M11;2.962.040
Total;Residentes en España;Viajero;2013M10;3.529.310
Total;Residentes en España;Viajero;2013M09;4.055.351
Total;Residentes en España;Viajero;2013M08;5.426.618
Total;Residentes en España;Viajero;2013M07;4.622.498
Total;Residentes en España;Viajero;2013M06;4.109.160
Total;Residentes en España;Viajero;2013M05;3.678.011
Total;Residentes en España;Viajero;2013M04;3.107.991
Total;Residentes en España;Viajero;2013M03;3.596.941
Total;Residentes en España;Viajero;2013M02;2.543.898
Total;Residentes en España;Viajero;2013M01;2.107.452
Total;Residentes en España;Viajero;2012M12;2.644.571
Total;Residentes en España;Viajero;2012M11;2.730.498
Total;Residentes en España;Viajero;2012M10;3.551.117
Total;Residentes en España;Viajero;2012M09;4.020.495
Total;Residentes en España;Viajero;2012M08;5.213.797
Total;Residentes en España;Viajero;2012M07;4.578.014
Total;Residentes en España;Viajero;2012M06;4.164.269
Total;Residentes en España;Viajero;2012M05;3.610.640
Total;Residentes en España;Viajero;2012M04;3.877.984
Total;Residentes en España;Viajero;2012M03;3.344.772
Total;Residentes en España;Viajero;2012M02;2.898.921
Total;Residentes en España;Viajero;2012M01;2.390.674
Total;Residentes en España;Viajero;2011M12;2.893.004
Total;Residentes en España;Viajero;2011M11;2.891.744
Total;Residentes en España;Viajero;2011M10;3.909.150
Total;Residentes en España;Viajero;2011M09;4.424.189
Total;Residentes en España;Viajero;2011M08;5.615.032
Total;Residentes en España;Viajero;2011M07;5.093.546
Total;Residentes en España;Viajero;2011M06;4.430.197
Total;Residentes en España;Viajero;2011M05;3.746.751
Total;Residentes en España;Viajero;2011M04;4.088.344
Total;Residentes en España;Viajero;2011M03;3.380.332
Total;Residentes en España;Viajero;2011M02;2.994.483
Total;Residentes en España;Viajero;2011M01;2.358.110
Total;Residentes en España;Viajero;2010M12;3.000.911
Total;Residentes en España;Viajero;2010M11;2.990.886
Total;Residentes en España;Viajero;2010M10;4.186.876
Total;Residentes en España;Viajero;2010M09;4.307.901
Total;Residentes en España;Viajero;2010M08;5.599.468
Total;Residentes en España;Viajero;2010M07;5.002.604
Total;Residentes en España;Viajero;2010M06;4.386.962
Total;Residentes en España;Viajero;2010M05;4.042.148
Total;Residentes en España;Viajero;2010M04;3.877.568
Total;Residentes en España;Viajero;2010M03;3.543.609
Total;Residentes en España;Viajero;2010M02;2.943.090
Total;Residentes en España;Viajero;2010M01;2.351.307
Total;Residentes en España;Viajero;2009M12;2.936.381
Total;Residentes en España;Viajero;2009M11;2.990.558
Total;Residentes en España;Viajero;2009M10;3.959.267
Total;Residentes en España;Viajero;2009M09;4.277.206
Total;Residentes en España;Viajero;2009M08;5.563.505
Total;Residentes en España;Viajero;2009M07;4.888.672
Total;Residentes en España;Viajero;2009M06;4.188.954
Total;Residentes en España;Viajero;2009M05;3.939.334
Total;Residentes en España;Viajero;2009M04;3.878.166
Total;Residentes en España;Viajero;2009M03;3.292.594
Total;Residentes en España;Viajero;2009M02;2.892.445
Total;Residentes en España;Viajero;2009M01;2.331.000
Total;Residentes en España;Viajero;2008M12;2.829.046
Total;Residentes en España;Viajero;2008M11;3.072.911
Total;Residentes en España;Viajero;2008M10;3.839.709
Total;Residentes en España;Viajero;2008M09;4.425.435
Total;Residentes en España;Viajero;2008M08;5.584.157
Total;Residentes en España;Viajero;2008M07;4.977.811
Total;Residentes en España;Viajero;2008M06;4.443.768
Total;Residentes en España;Viajero;2008M05;4.226.211
Total;Residentes en España;Viajero;2008M04;3.744.345
Total;Residentes en España;Viajero;2008M03;4.097.905
Total;Residentes en España;Viajero;2008M02;3.326.713
Total;Residentes en España;Viajero;2008M01;2.673.147
Total;Residentes en España;Viajero;2007M12;3.064.815
Total;Residentes en España;Viajero;2007M11;3.502.020
Total;Residentes en España;Viajero;2007M10;4.224.929
Total;Residentes en España;Viajero;2007M09;4.604.220
Total;Residentes en España;Viajero;2007M08;5.654.061
Total;Residentes en España;Viajero;2007M07;5.003.539
Total;Residentes en España;Viajero;2007M06;4.658.070
Total;Residentes en España;Viajero;2007M05;4.015.617
Total;Residentes en España;Viajero;2007M04;4.450.863
Total;Residentes en España;Viajero;2007M03;3.769.341
Total;Residentes en España;Viajero;2007M02;3.088.894
Total;Residentes en España;Viajero;2007M01;2.604.319
Total;Residentes en España;Viajero;2006M12;3.125.022
Total;Residentes en España;Viajero;2006M11;3.254.904
Total;Residentes en España;Viajero;2006M10;4.146.937
Total;Residentes en España;Viajero;2006M09;4.563.672
Total;Residentes en España;Viajero;2006M08;5.553.617
Total;Residentes en España;Viajero;2006M07;4.941.982
Total;Residentes en España;Viajero;2006M06;4.371.721
Total;Residentes en España;Viajero;2006M05;3.947.962
Total;Residentes en España;Viajero;2006M04;4.390.094
Total;Residentes en España;Viajero;2006M03;3.553.339
Total;Residentes en España;Viajero;2006M02;3.043.034
Total;Residentes en España;Viajero;2006M01;2.551.856
Total;Residentes en España;Viajero;2005M12;2.702.235
Total;Residentes en España;Viajero;2005M11;2.898.398
Total;Residentes en España;Viajero;2005M10;3.628.419
Total;Residentes en España;Viajero;2005M09;4.038.043
Total;Residentes en España;Viajero;2005M08;4.985.733
Total;Residentes en España;Viajero;2005M07;4.366.698
Total;Residentes en España;Viajero;2005M06;3.865.747
Total;Residentes en España;Viajero;2005M05;3.646.228
Total;Residentes en España;Viajero;2005M04;3.316.778
Total;Residentes en España;Viajero;2005M03;3.391.717
Total;Residentes en España;Viajero;2005M02;2.621.061
Total;Residentes en España;Viajero;2005M01;2.139.281
Total;Residentes en España;Viajero;2004M12;2.654.019
Total;Residentes en España;Viajero;2004M11;2.670.646
Total;Residentes en España;Viajero;2004M10;3.563.172
Total;Residentes en España;Viajero;2004M09;3.866.299
Total;Residentes en España;Viajero;2004M08;4.762.452
Total;Residentes en España;Viajero;2004M07;4.051.344
Total;Residentes en España;Viajero;2004M06;3.650.036
Total;Residentes en España;Viajero;2004M05;3.232.971
Total;Residentes en España;Viajero;2004M04;3.310.414
Total;Residentes en España;Viajero;2004M03;2.886.872
Total;Residentes en España;Viajero;2004M02;2.548.353
Total;Residentes en España;Viajero;2004M01;2.014.826
Total;Residentes en España;Viajero;2003M12;2.381.098
Total;Residentes en España;Viajero;2003M11;2.478.930
Total;Residentes en España;Viajero;2003M10;2.961.468
Total;Residentes en España;Viajero;2003M09;3.508.436
Total;Residentes en España;Viajero;2003M08;4.321.876
Total;Residentes en España;Viajero;2003M07;3.604.009
Total;Residentes en España;Viajero;2003M06;3.268.531
Total;Residentes en España;Viajero;2003M05;2.987.830
Total;Residentes en España;Viajero;2003M04;3.096.315
Total;Residentes en España;Viajero;2003M03;2.621.941
Total;Residentes en España;Viajero;2003M02;2.185.902
Total;Residentes en España;Viajero;2003M01;1.866.434
Total;Residentes en España;Viajero;2002M12;2.239.496
Total;Residentes en España;Viajero;2002M11;2.363.666
Total;Residentes en España;Viajero;2002M10;2.841.697
Total;Residentes en España;Viajero;2002M09;3.206.586
Total;Residentes en España;Viajero;2002M08;4.093.306
Total;Residentes en España;Viajero;2002M07;3.326.284
Total;Residentes en España;Viajero;2002M06;2.909.167
Total;Residentes en España;Viajero;2002M05;2.800.938
Total;Residentes en España;Viajero;2002M04;2.626.016
Total;Residentes en España;Viajero;2002M03;2.863.303
Total;Residentes en España;Viajero;2002M02;2.163.645
Total;Residentes en España;Viajero;2002M01;1.824.018
Total;Residentes en España;Viajero;2001M12;2.104.053
Total;Residentes en España;Viajero;2001M11;2.336.166
Total;Residentes en España;Viajero;2001M10;2.859.626
Total;Residentes en España;Viajero;2001M09;3.223.605
Total;Residentes en España;Viajero;2001M08;3.917.546
Total;Residentes en España;Viajero;2001M07;3.244.732
Total;Residentes en España;Viajero;2001M06;2.946.672
Total;Residentes en España;Viajero;2001M05;2.664.737
Total;Residentes en España;Viajero;2001M04;3.020.317
Total;Residentes en España;Viajero;2001M03;2.519.243
Total;Residentes en España;Viajero;2001M02;2.179.135
Total;Residentes en España;Viajero;2001M01;1.876.469
Total;Residentes en España;Viajero;2000M12;2.176.222
Total;Residentes en España;Viajero;2000M11;2.283.268
Total;Residentes en España;Viajero;2000M10;2.798.565
Total;Residentes en España;Viajero;2000M09;3.188.546
Total;Residentes en España;Viajero;2000M08;3.805.934
Total;Residentes en España;Viajero;2000M07;3.187.268
Total;Residentes en España;Viajero;2000M06;2.853.802
Total;Residentes en España;Viajero;2000M05;2.656.249
Total;Residentes en España;Viajero;2000M04;2.941.255
Total;Residentes en España;Viajero;2000M03;2.405.046
Total;Residentes en España;Viajero;2000M02;2.098.381
Total;Residentes en España;Viajero;2000M01;1.738.456
Total;Residentes en España;Viajero;1999M12;2.130.796
Total;Residentes en España;Viajero;1999M11;2.132.074
Total;Residentes en España;Viajero;1999M10;2.844.631
Total;Residentes en España;Viajero;1999M09;3.220.763
Total;Residentes en España;Viajero;1999M08;3.753.975
Total;Residentes en España;Viajero;1999M07;3.300.631
Total;Residentes en España;Viajero;1999M06;2.829.189
Total;Residentes en España;Viajero;1999M05;2.708.247
Total;Residentes en España;Viajero;1999M04;2.738.154
Total;Residentes en España;Viajero;1999M03;2.462.481
Total;Residentes en España;Viajero;1999M02;1.971.767
Total;Residentes en España;Viajero;1999M01;1.696.976
Total;Residentes en España;Pernoctaciones;2025M04;10.041.970
Total;Residentes en España;Pernoctaciones;2025M03;8.016.309
Total;Residentes en España;Pernoctaciones;2025M02;6.567.323
Total;Residentes en España;Pernoctaciones;2025M01;5.735.585
Total;Residentes en España;Pernoctaciones;2024M12;7.212.015
Total;Residentes en España;Pernoctaciones;2024M11;7.641.047
Total;Residentes en España;Pernoctaciones;2024M10;9.668.865
Total;Residentes en España;Pernoctaciones;2024M09;11.701.195
Total;Residentes en España;Pernoctaciones;2024M08;17.325.504
Total;Residentes en España;Pernoctaciones;2024M07;14.790.887
Total;Residentes en España;Pernoctaciones;2024M06;12.257.046
Total;Residentes en España;Pernoctaciones;2024M05;10.580.572
Total;Residentes en España;Pernoctaciones;2024M04;8.884.448
Total;Residentes en España;Pernoctaciones;2024M03;9.421.644
Total;Residentes en España;Pernoctaciones;2024M02;6.774.732
Total;Residentes en España;Pernoctaciones;2024M01;5.762.176
Total;Residentes en España;Pernoctaciones;2023M12;7.363.463
Total;Residentes en España;Pernoctaciones;2023M11;6.957.475
Total;Residentes en España;Pernoctaciones;2023M10;9.662.174
Total;Residentes en España;Pernoctaciones;2023M09;11.783.151
Total;Residentes en España;Pernoctaciones;2023M08;17.548.462
Total;Residentes en España;Pernoctaciones;2023M07;15.303.797
Total;Residentes en España;Pernoctaciones;2023M06;12.216.070
Total;Residentes en España;Pernoctaciones;2023M05;9.784.069
Total;Residentes en España;Pernoctaciones;2023M04;10.749.390
Total;Residentes en España;Pernoctaciones;2023M03;8.037.671
Total;Residentes en España;Pernoctaciones;2023M02;6.508.332
Total;Residentes en España;Pernoctaciones;2023M01;5.810.812
Total;Residentes en España;Pernoctaciones;2022M12;7.121.128
Total;Residentes en España;Pernoctaciones;2022M11;7.046.984
Total;Residentes en España;Pernoctaciones;2022M10;9.771.323
Total;Residentes en España;Pernoctaciones;2022M09;12.065.204
Total;Residentes en España;Pernoctaciones;2022M08;18.268.800
Total;Residentes en España;Pernoctaciones;2022M07;15.608.687
Total;Residentes en España;Pernoctaciones;2022M06;12.216.496
Total;Residentes en España;Pernoctaciones;2022M05;10.052.067
Total;Residentes en España;Pernoctaciones;2022M04;10.260.559
Total;Residentes en España;Pernoctaciones;2022M03;7.071.757
Total;Residentes en España;Pernoctaciones;2022M02;6.018.570
Total;Residentes en España;Pernoctaciones;2022M01;4.536.018
Total;Residentes en España;Pernoctaciones;2021M12;6.316.273
Total;Residentes en España;Pernoctaciones;2021M11;6.088.018
Total;Residentes en España;Pernoctaciones;2021M10;9.526.090
Total;Residentes en España;Pernoctaciones;2021M09;11.812.962
Total;Residentes en España;Pernoctaciones;2021M08;19.570.475
Total;Residentes en España;Pernoctaciones;2021M07;14.839.925
Total;Residentes en España;Pernoctaciones;2021M06;8.961.374
Total;Residentes en España;Pernoctaciones;2021M05;4.695.099
Total;Residentes en España;Pernoctaciones;2021M04;2.841.406
Total;Residentes en España;Pernoctaciones;2021M03;2.591.447
Total;Residentes en España;Pernoctaciones;2021M02;1.774.784
Total;Residentes en España;Pernoctaciones;2021M01;1.682.063
Total;Residentes en España;Pernoctaciones;2020M12;2.023.056
Total;Residentes en España;Pernoctaciones;2020M11;1.799.183
Total;Residentes en España;Pernoctaciones;2020M10;3.758.168
Total;Residentes en España;Pernoctaciones;2020M09;6.393.060
Total;Residentes en España;Pernoctaciones;2020M08;12.058.039
Total;Residentes en España;Pernoctaciones;2020M07;7.561.439
Total;Residentes en España;Pernoctaciones;2020M06;1.548.421
Total;Residentes en España;Pernoctaciones;2020M05;220.577
Total;Residentes en España;Pernoctaciones;2020M04;0
Total;Residentes en España;Pernoctaciones;2020M03;3.080.076
Total;Residentes en España;Pernoctaciones;2020M02;7.003.972
Total;Residentes en España;Pernoctaciones;2020M01;5.705.057
Total;Residentes en España;Pernoctaciones;2019M12;7.026.688
Total;Residentes en España;Pernoctaciones;2019M11;7.200.004
Total;Residentes en España;Pernoctaciones;2019M10;8.784.169
Total;Residentes en España;Pernoctaciones;2019M09;11.541.054
Total;Residentes en España;Pernoctaciones;2019M08;18.245.766
Total;Residentes en España;Pernoctaciones;2019M07;14.871.768
Total;Residentes en España;Pernoctaciones;2019M06;11.606.159
Total;Residentes en España;Pernoctaciones;2019M05;9.830.228
Total;Residentes en España;Pernoctaciones;2019M04;10.124.829
Total;Residentes en España;Pernoctaciones;2019M03;8.482.404
