Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Viajero;Total;Residentes en el Extranjero;2018M04;0,58
Viajero;Total;Residentes en el Extranjero;2018M03;0,61
Viajero;Total;Residentes en el Extranjero;2018M02;0,65
Viajero;Total;Residentes en el Extranjero;2018M01;0,76
Viajero;Total;Residentes en el Extranjero;2017M12;0,69
Viajero;Total;Residentes en el Extranjero;2017M11;0,63
Viajero;Total;Residentes en el Extranjero;2017M10;0,67
Viajero;Total;Residentes en el Extranjero;2017M09;0,52
Viajero;Total;Residentes en el Extranjero;2017M08;0,54
Viajero;Total;Residentes en el Extranjero;2017M07;0,62
Viajero;Total;Residentes en el Extranjero;2017M06;0,53
Viajero;Total;Residentes en el Extranjero;2017M05;0,59
Viajero;Total;Residentes en el Extranjero;2017M04;0,63
Viajero;Total;Residentes en el Extranjero;2017M03;0,66
Viajero;Total;Residentes en el Extranjero;2017M02;0,63
Viajero;Total;Residentes en el Extranjero;2017M01;0,77
Viajero;Total;Residentes en el Extranjero;2016M12;0,72
Viajero;Total;Residentes en el Extranjero;2016M11;0,63
Viajero;Total;Residentes en el Extranjero;2016M10;0,64
Viajero;Total;Residentes en el Extranjero;2016M09;0,56
Viajero;Total;Residentes en el Extranjero;2016M08;0,56
Viajero;Total;Residentes en el Extranjero;2016M07;0,61
Viajero;Total;Residentes en el Extranjero;2016M06;0,63
Viajero;Total;Residentes en el Extranjero;2016M05;0,61
Viajero;Total;Residentes en el Extranjero;2016M04;0,63
Viajero;Total;Residentes en el Extranjero;2016M03;0,64
Viajero;Total;Residentes en el Extranjero;2016M02;0,61
Viajero;Total;Residentes en el Extranjero;2016M01;0,71
Viajero;Total;Residentes en el Extranjero;2015M12;0,74
Viajero;Total;Residentes en el Extranjero;2015M11;0,78
Viajero;Total;Residentes en el Extranjero;2015M10;0,65
Viajero;Total;Residentes en el Extranjero;2015M09;0,58
Viajero;Total;Residentes en el Extranjero;2015M08;0,58
Viajero;Total;Residentes en el Extranjero;2015M07;0,6
Viajero;Total;Residentes en el Extranjero;2015M06;0,64
Viajero;Total;Residentes en el Extranjero;2015M05;0,63
Viajero;Total;Residentes en el Extranjero;2015M04;0,69
Viajero;Total;Residentes en el Extranjero;2015M03;0,71
Viajero;Total;Residentes en el Extranjero;2015M02;0,7
Viajero;Total;Residentes en el Extranjero;2015M01;0,77
Viajero;Total;Residentes en el Extranjero;2014M12;0,75
Viajero;Total;Residentes en el Extranjero;2014M11;0,7
Viajero;Total;Residentes en el Extranjero;2014M10;0,64
Viajero;Total;Residentes en el Extranjero;2014M09;0,61
Viajero;Total;Residentes en el Extranjero;2014M08;0,6
Viajero;Total;Residentes en el Extranjero;2014M07;0,6
Viajero;Total;Residentes en el Extranjero;2014M06;0,67
Viajero;Total;Residentes en el Extranjero;2014M05;0,67
Viajero;Total;Residentes en el Extranjero;2014M04;0,61
Viajero;Total;Residentes en el Extranjero;2014M03;0,66
Viajero;Total;Residentes en el Extranjero;2014M02;0,6
Viajero;Total;Residentes en el Extranjero;2014M01;0,71
